subject,age,gender,eye
102,25,F,R
103,21,F,R
104,19,F,R
105,19,F,R
106,41,F,L
107,28,F,R
108,20,F,R
109,19,F,R
110,29,F,R
111,24,M,R
112,20,M,R
113,32,F,R
114,23,F,R
115,24,F,R
116,20,M,R
117,20,F,R
118,30,M,R
119,24,M,R
120,20,F,R
122,28,M,R
123,20,F,R
124,20,M,R
125,25,F,R
126,20,F,R
127,22,F,R
128,21,F,R
129,20,F,R
130,25,F,R
131,27,F,R
132,21,F,R
133,42,F,R
134,28,F,R
135,21,F,R
136,20,F,R
137,20,M,R
138,17,F,R
139,45,F,R
140,25,M,R
142,24,F,R
143,19,M,R
144,19,M,R
146,29,M,R
147,20,M,R
148,24,F,R
149,18,F,R
150,22,F,R
151,18,F,R
