letter,color,answer,frequency
1,1,1,80
2,2,1,80
3,3,1,40
4,4,1,40
5,5,1,20
6,6,1,20
1,1,1,80
2,2,1,80
3,3,1,40
4,4,1,40
5,5,1,20
6,6,1,20
1,1,1,80
2,2,1,80
3,3,1,40
4,4,1,40
5,5,1,20
6,6,1,20
1,1,1,80
2,2,1,80
3,3,1,40
4,4,1,40
5,5,1,20
6,6,1,20
1,1,1,80
2,2,1,80
3,3,1,40
4,4,1,40
5,5,1,20
6,6,1,20
1,2,0,80
1,3,0,80
1,4,0,80
1,5,0,80
1,6,0,80
2,1,0,80
2,3,0,80
2,4,0,80
2,5,0,80
2,6,0,80
3,1,0,40
3,2,0,40
3,4,0,40
3,5,0,40
3,6,0,40
4,1,0,40
4,2,0,40
4,3,0,40
4,5,0,40
4,6,0,40
5,1,0,20
5,2,0,20
5,3,0,20
5,4,0,20
5,6,0,20
6,1,0,20
6,2,0,20
6,3,0,20
6,4,0,20
6,5,0,20
