letter,color,frequency,oddball
1,1,80,0
1,1,80,0
1,1,80,0
1,1,80,0
1,1,80,0
1,1,80,0
1,1,80,0
1,1,80,0
1,100,80,0
1,100,80,0
2,2,80,0
2,2,80,0
2,2,80,0
2,2,80,0
2,2,80,0
2,2,80,0
2,2,80,0
2,2,80,0
2,100,80,0
2,100,80,0
3,3,40,0
3,3,40,0
3,3,40,0
3,3,40,0
3,100,40,0
3,100,40,0
3,100,40,0
3,100,40,0
3,100,40,0
3,100,40,0
4,4,40,0
4,4,40,0
4,4,40,0
4,4,40,0
4,100,40,0
4,100,40,0
4,100,40,0
4,100,40,0
4,100,40,0
4,100,40,0
5,5,20,0
5,5,20,0
5,100,20,0
5,100,20,0
5,100,20,0
5,100,20,0
5,100,20,0
5,100,20,0
5,100,20,0
5,100,20,0
6,6,20,0
6,6,20,0
6,100,20,0
6,100,20,0
6,100,20,0
6,100,20,0
6,100,20,0
6,100,20,0
6,100,20,0
6,100,20,0
7,7,0,1
100,7,0,1
7,100,0,1
7,7,0,1
100,7,0,1
7,100,0,1
